"""text""","""label"""
"Festgelegte Stückelung NOK 2.000.000 Specified Denomination NOK 2,000,000 ",DefineDenomination
BMW Finance N.V. ,DefineIssuerName
"Specified Denomination(s) NOK 2,000,000 and integral multiples of NOK 1,000,000 in excess thereof ",DefineDenomination
Maturity Date 21 April 2023 ,DefineInstrumentMaturityDate
"Aggregate Principal Amount: NOK 1,230,000,000 ",DefineInstrumentFirstAmount
"Aggregate Principal Amount of Series: NOK 1,230,000,000 ",DefineInstrumentMaxAmount
"Aktiebolaget Svensk Exportkredit (publ) (Swedish Export Credit Corporation) (Incorporated in theKingdom of Swedenwith limited liability) (""SEK"" or the ""Issuer"") ",DefineIssuerName
" Aggregate Nominal Amount: (i) Series SEK 1,OOO,OOO,OOO ",DefineInstrumentMaxAmount
" (i) Specified Denomination: SEI( 2,000,000 and integral multiples of SEK  1,OOO,OOO in excess thereof up to and including  SEK 3 000 000. No Instruments in definitive ",DefineDenomination
"(ii) Tranche SEK 500,000,000 ",DefineInstrumentFirstAmount
"(ii) Calculation Amount: SEK l,OOO,OOO ",DefineDenomination
 Maturity Date: 15 September 2025 ,DefineInstrumentMaturityDate
"(ii) Tranche: EUR 500,000,000 ",DefineInstrumentFirstAmount
 Issuer: KommuneKredit ,DefineIssuerName
 Maturity Date: 4 May 2034 ,DefineInstrumentMaturityDate
Kommuninvest i Sverige Aktiebolag (publ) ,DefineIssuerName
Signed on behalf of Kommuninvest i Sverige Aktiebolag (publ): ,DefineIssuerName
"Tranche: U.S.$1,250,000,000 ",DefineInstrumentFirstAmount
"Series: U.S.$1,250,000,000 ",DefineInstrumentMaxAmount
" (a) Specified Denomination(s): U.S.$200,000 and integral multiples of U.S.$1,000 in excess thereof ",DefineDenomination
"(b) Calculation Amount: U.S.$1,000 ",DefineDenomination
 Maturity Date: 9 August 2023 ,DefineInstrumentMaturityDate
"Aktiebolaget Svensk Exportkredit (publ) (Swedish Export Credit Corporation) (Incorporated in the Kingdom of Sweden with limited liability) (""SEK"" or the ""Issuer"")  Unlimited Programme for the Continuous Issuance of Debt Instruments Issue of a Series of  GBP 450,000,000 0.125 per. cent Instruments due 15 December 2025 (""Instruments"") ",DefineIssuerName
Signed on behalf of AKTIEBOLAGET SVENSK EXPORTKREDIT (publ): ,DefineIssuerName
 Maturity Date: 15 December 2025 ,DefineInstrumentMaturityDate
" (i) Specified Denominations: GBP 100,000 and integral multiples of GBP 1000 in excess thereof up to and including GBP 199,000. No Instruments in definitive form will be issued with a Specified Denomination above GBP 199,000. ",DefineDenomination
"(ii) Calculation Amount: GBP 1,000 ",DefineDenomination
"(i) Series: GBP 450,000,000 ",DefineInstrumentMaxAmount
"(ii) Tranche: GBP 450,000,000 ",DefineInstrumentFirstAmount
"(i) Specified Denomination(s): SEK 2,000,000 and integral multiples of SEK 1,000,000 in excess thereof up to and including SEK 3,000,000. No Notes in definitive form will be issued with a denomination above SEK 3,000,000. ",DefineDenomination
"(ii) Calculation Amount: SEK 1,000,000 (i) Issue Date: 24 May 2021 (ii) Interest Commencement 18 January 2021 Date: Maturity Date: 18 January 2024 ",DefineDenomination
SBAB BANK AB (publ) (Incorporated with limited liability in the Kingdom of Sweden) Legal Entity Identifier (LEI): HOYXSLBGKDVOWCXBZ594 ,DefineIssuerName
"(ii) Calculation Amount: SEK 1,000,000 (i) Issue Date: 24 May 2021 (ii) Interest Commencement 18 January 2021 Date: Maturity Date: 18 January 2024 ",DefineInstrumentMaturityDate
" (i) Specified Denominations: NOK 1,000,000 ",DefineDenomination
"(ii) Calculation Amount: NOK 1,000,000 ",DefineDenomination
Maturity Date: 4 March 2033,DefineInstrumentMaturityDate
 (i) Issuer: Citigroup Global Markets Funding Luxembourg S.C.A. ,DefineIssuerName
"(i) Series: NOK500,000,000 ",DefineInstrumentMaxAmount
"(ii) Tranche: NOK500,000,000 ",DefineInstrumentFirstAmount
" Scheduled Maturity Date: 4 March 2033, subject to adjustment in accordance with the Modified Following Business Day Convention ",DefineInstrumentMaturityDate
" (i) Specified Denominations: EUR 100,000 and integral multiples of EUR 1,000 in excess thereof, up to and including EUR 199,000. ",DefineDenomination
"(ii) Calculation Amount: EUR 1,000 ",DefineDenomination
 Maturity Date: 19 March 2031 ,DefineInstrumentMaturityDate
NORDEA BANK ABP ,DefineIssuerName
"(i) Series: EUR 500,000,000 ",DefineInstrumentMaxAmount
"(ii) Tranche: EUR 500,000,000 ",DefineInstrumentFirstAmount
 (i) Issuer: Morgan Stanley & Co International plc ,DefineIssuerName
" (i) Specified Denominations: NOK 50,000 ",DefineDenomination
"(ii) Calculation Amount (Par): NOK 50,000 ",DefineDenomination
"Issue of NOK 16,600,000 Equity Linked Notes due 2023 ",DefineInstrumentFirstAmount
" Maturity Date: 9 January 2023, subject to adjustment in accordance with the Business Day Convention (i) in the event such date is not a Business Day or (ii) such that the Maturity Date shall always be at least five (5) Business Days following the Determination Date ",DefineInstrumentMaturityDate
Morgan Stanley & Co International plc as Issuer ,DefineIssuerName
" Given the highly specialised nature of these Notes, Morgan Stanley & Co. International plc (“the  Issuer”)(""MSI plc"") consider that they are only suitable for highly sophisticated investors who are able to ",DefineIssuerName
"(ii) Tranche: NOK 16,600,000 ",DefineInstrumentFirstAmount
"(i) Series: NOK 16,600,000 ",DefineInstrumentMaxAmount
KommuneKredit ,DefineIssuerName
 Issuer: KommuneKredit ,DefineIssuerName
"These Final Terms comprise the details required to list the issue of Notes described herein pursuant to the listing of the EUR 30,000,000,000 Euro Medium Term Note Programme of KommuneKredit. ",DefineIssuerName
"GBP 200,000,000 0.375 per cent. Fixed Rate Notes due 15 November 2024 (the Notes) pursuant to its EUR 30,000,000,000 Euro Medium Term Note Programme, to be consolidated with the existing GBP 500,000,000 0.375 per cent. Fixed Rate Notes due 15 November 2024 (the Existing Notes) ",DefineInstrumentFirstAmount
"(i) Series: £700,000,000 ",DefineInstrumentMaxAmount
"(ii) Tranche: £200,000,000 ",DefineInstrumentFirstAmount
" (i) Specified Denominations: £100,000 and multiples of £1,000 thereafter ",DefineDenomination
"(ii) Calculation Amount: £1,000 ",DefineDenomination
 Maturity Date: 15 November 2024 ,DefineInstrumentMaturityDate
SBAB BANK AB (publ)  (Incorporated with limited liability in the Kingdom of Sweden) ,DefineIssuerName
"SEK 2,000,000 and integral multiples of  SEK 1,000,000 in excess thereof up to and including  SEK 3,000,000. No Notes in definitive form will be ",DefineDenomination
" (i) Specified Denomination(s): EUR 100,000 and integral multiples of EUR 1,000 in excess thereof up to and including EUR 199,000. No Notes in definitive form will be issued with a denomination above EUR 199,000. ",DefineDenomination
DANSKE BANK A/S ,DefineIssuerName
 Issuer: Danske Bank A/S ,DefineIssuerName
" Aggregate Nominal Amount: EUR 500,000,000 ",DefineInstrumentFirstAmount
"(ii) Calculation Amount: EUR 1,000 ",DefineDenomination
 Maturity Date: 9 June 2029 ,DefineInstrumentMaturityDate
"(i) Series: USD 75,000,000 ",DefineInstrumentMaxAmount
"(ii) Tranche: USD 75,000,000 ",DefineInstrumentFirstAmount
" (i) Specified Denominations: USD 200,000 and integral multiples of USD 1,000 in excess thereof up to and including USD 399,000. No Notes in definitive form will be issued with a denomination above USD 399,000. ",DefineDenomination
"(ii) Calculation Amount USD 1,000 ",DefineDenomination
Signed on behalf of Sparebanken Vest: ,DefineIssuerName
 Maturity Date: 8 July 2025 ,DefineInstrumentMaturityDate
Sparebanken Vest ,DefineIssuerName
" Aggregate Nominal Amount: (i) Series SEK 3,400,000,000 ",DefineInstrumentMaxAmount
" (i) Specified Denomination:  SEK 2,000,000 and integral multiples of SEK  l,OOO,OOO in excess thereof up to and including  SEK 3,000,000. No Instruments in definitive  form will be issued with a Specified  Denomination above SEK 3,000,000. ",DefineDenomination
"Aktiebolaget Svensk Exportkredit (publ) (Swedish Export Credit Corporation) (Incorporated in theKingdom of Swedenwith limited liability) (""SEK"" or the ""Issuer"") ",DefineIssuerName
"(ii) Tranche SEK l,OOO,OOO,OOO ",DefineInstrumentFirstAmount
"(ii) Calculation Arnount: SEK l,OOO,OOO ",DefineDenomination
 Maturity Date: 15 September 2025 ,DefineInstrumentMaturityDate
Signed on behalf of AKTIEBOLAGET SVENSK EXPORTKREDIT (publ): ,DefineIssuerName
"Issue of a Series of  SEK 1,OOO,OOO,OOO ",DefineInstrumentMaxAmount
 Issuer: Region Stockholm ,DefineIssuerName
Region Stockholm ,DefineIssuerName
"(a) Series: SEK 500,000,000 ",DefineInstrumentMaxAmount
"(b) Tranche: SEK 500,000,000 ",DefineInstrumentFirstAmount
 Maturity Date: 17 February 2023 ,DefineInstrumentMaturityDate
" Specified Denominations: SEK 2,000,000 and integral multiples of SEK 1,000,000 in excess thereof ",DefineDenomination
" Calculation Amount (in relation to SEK 1,000,000 calculation of interest in global form see Conditions): ",DefineDenomination
"This document is a series memorandum (the “Series Memorandum”), which contains information relating to the above notes (the “Notes”) issued by SPIRE acting in respect of its Compartment 2020-170 (the “Issuer”)",DefineIssuerName
"Single Platform Investment Repackaging Entity SA  (a public limited liability company (société anonyme) incorporated under the laws of Luxembourg with registered office at 51, avenue John F. Kennedy, L-1855 Luxembourg, having a share capital of EUR 31,000, and duly registered with the Registre de Commerce et des Sociétés, Luxembourg with number B206430) (“SPIRE”) ",DefineIssuerIncorperationPlace
"Single Platform Investment Repackaging Entity SA  (a public limited liability company (société anonyme) incorporated under the laws of Luxembourg with registered office at 51, avenue John F. Kennedy, L-1855 Luxembourg, having a share capital of EUR 31,000, and duly registered with the Registre de Commerce et des Sociétés, Luxembourg with number B206430) (“SPIRE”) ",DefineIssuerName
8 Maturity Date: 11 January 2027 ,DefineInstrumentMaturityDate
Maturity: 11 January 2027 ,DefineInstrumentMaturityDate
"6 (i) Specified Denominations: NOK 2,000,000 ",DefineDenomination
"(ii) Calculation Amount: NOK 2,000,000 ",DefineDenomination
"(i) Series: NOK 250,000,000 ",DefineInstrumentMaxAmount
"(ii) Tranche: NOK 250,000,000 ",DefineInstrumentMaxAmount
